Payment ID,Amount (BTC),Sent Time,Acknowledgment Time,Latency (ms),Status
CHANNEL OPEN,-,-,-,-,Open
1,100,2025-04-29 02:17:19,2025-04-29 02:17:19,30,Success
5,100,2025-04-29 02:17:27,2025-04-29 02:17:27,2,Success
3,100,2025-04-29 02:17:37,-,-,Packet Loss (Not Sent)
8,100,2025-04-29 02:17:46,-,-,Packet Loss (Not Sent)
89,100,2025-04-29 02:17:57,-,-,Packet Loss (Not Sent)
89,100,2025-04-29 02:17:59,2025-04-29 02:17:59,2,Success
CHANNEL OPEN,-,-,-,-,Open
1,100,2025-04-29 02:30:34,-,-,Packet Loss (Not Sent)
1,100,2025-04-29 02:30:38,-,-,Packet Loss (Not Sent)
1,100,2025-04-29 02:30:39,2025-04-29 02:30:39,20,Success
2,100,2025-04-29 02:30:51,2025-04-29 02:30:51,1,Success
3,100,2025-04-29 02:30:59,2025-04-29 02:30:59,2,Success
CHANNEL CLOSE,-,-,-,-,Closed
CHANNEL OPEN,-,-,-,-,Open
1,100,2025-04-29 02:34:09,2025-04-29 02:34:09,49,Success
2,100,2025-04-29 02:35:15,2025-04-29 02:35:15,3,Success
3,100,2025-04-29 02:35:20,2025-04-29 02:35:20,2,Success
4,100,2025-04-29 02:35:25,2025-04-29 02:35:25,2,Success
5,100,2025-04-29 02:35:29,-,-,Packet Loss (Not Sent)
